_id,libno,time,in,out
339,775150,2019-07-01T17:00:00,18,23
340,775150,2019-07-01T18:00:00,0,2
341,775150,2019-07-02T07:00:00,1,1
342,775150,2019-07-02T08:00:00,2,0
343,775150,2019-07-02T09:00:00,12,12
344,775150,2019-07-02T10:00:00,30,27
345,775150,2019-07-02T11:00:00,14,16
346,775150,2019-07-02T12:00:00,18,14
347,775150,2019-07-02T13:00:00,9,16
348,775150,2019-07-02T14:00:00,14,13
349,775150,2019-07-02T15:00:00,28,18
350,775150,2019-07-02T16:00:00,11,20
351,775150,2019-07-02T17:00:00,6,6
352,775150,2019-07-02T18:00:00,0,1
353,775150,2019-07-03T08:00:00,3,2
354,775150,2019-07-03T09:00:00,4,3
355,775150,2019-07-03T10:00:00,2,4
356,775150,2019-07-03T11:00:00,14,13
357,775150,2019-07-03T12:00:00,8,7
358,775150,2019-07-03T13:00:00,5,3
359,775150,2019-07-03T14:00:00,4,7
360,775150,2019-07-03T15:00:00,13,8
361,775150,2019-07-03T16:00:00,14,20
362,775150,2019-07-03T17:00:00,5,8
363,775160,2019-07-02T12:00:00,29,19
364,775160,2019-07-02T13:00:00,40,35
365,775160,2019-07-02T14:00:00,56,48
366,775160,2019-07-02T15:00:00,65,66
367,775160,2019-07-02T16:00:00,79,48
368,775160,2019-07-02T17:00:00,60,43
369,775160,2019-07-02T18:00:00,7,4
370,775160,2019-07-02T19:00:00,2,5
371,775160,2019-07-02T20:00:00,3,2
372,775160,2019-07-02T21:00:00,2,4
373,775160,2019-07-03T07:00:00,1,0
374,775160,2019-07-03T08:00:00,19,13
375,775160,2019-07-03T09:00:00,29,14
376,775160,2019-07-03T10:00:00,69,45
377,775160,2019-07-03T11:00:00,60,40
378,775160,2019-07-03T12:00:00,52,43
379,775160,2019-07-03T13:00:00,44,35
380,775160,2019-07-03T14:00:00,51,31
381,775160,2019-07-03T15:00:00,64,37
382,775160,2019-07-03T16:00:00,83,59
383,775160,2019-07-03T17:00:00,29,28
384,775160,2019-07-03T18:00:00,10,11
385,775160,2019-07-03T19:00:00,7,10
386,775160,2019-07-03T20:00:00,3,1
387,775160,2019-07-03T21:00:00,2,1
388,775162,2019-07-01T07:00:00,2,2
389,775162,2019-07-01T08:00:00,3,3
390,775162,2019-07-01T09:00:00,7,8
391,775162,2019-07-01T10:00:00,5,5
392,775162,2019-07-01T11:00:00,8,7
393,775162,2019-07-01T12:00:00,2,2
394,775162,2019-07-01T13:00:00,7,5
395,775162,2019-07-01T14:00:00,6,5
396,775162,2019-07-01T15:00:00,3,2
397,775162,2019-07-01T16:00:00,3,2
398,775162,2019-07-01T17:00:00,4,3
399,775162,2019-07-01T18:00:00,0,2
400,775162,2019-07-02T07:00:00,4,1
401,775162,2019-07-02T09:00:00,0,1
402,775162,2019-07-03T12:00:00,1,0
403,775162,2019-07-03T13:00:00,2,1
404,775164,2019-07-01T11:00:00,1,1
405,775164,2019-07-01T14:00:00,0,2
406,775164,2019-07-02T13:00:00,2,3
407,775164,2019-07-03T13:00:00,0,4
408,775164,2019-07-03T15:00:00,0,2
409,775167,2019-07-01T08:00:00,2,2
410,775167,2019-07-01T09:00:00,14,7
411,775167,2019-07-01T10:00:00,15,20
412,775167,2019-07-01T11:00:00,19,20
413,775167,2019-07-01T12:00:00,25,20
414,775167,2019-07-01T13:00:00,12,24
415,775167,2019-07-01T14:00:00,16,12
416,775167,2019-07-01T15:00:00,29,21
417,775167,2019-07-01T16:00:00,43,38
418,775167,2019-07-01T17:00:00,20,25
419,775167,2019-07-01T18:00:00,16,21
420,775167,2019-07-01T19:00:00,13,13
421,775167,2019-07-01T20:00:00,6,6
422,775167,2019-07-01T21:00:00,7,11
423,775167,2019-07-02T07:00:00,5,4
424,775167,2019-07-02T08:00:00,1,2
425,775167,2019-07-02T09:00:00,10,8
426,775167,2019-07-02T10:00:00,16,24
427,775167,2019-07-02T11:00:00,7,15
428,775167,2019-07-02T12:00:00,12,13
429,775167,2019-07-02T13:00:00,11,13
430,775167,2019-07-02T14:00:00,14,27
431,775167,2019-07-02T15:00:00,28,17
432,775167,2019-07-02T16:00:00,19,30
433,775167,2019-07-02T17:00:00,14,17
434,775167,2019-07-02T18:00:00,5,8
435,775167,2019-07-02T19:00:00,16,13
436,775167,2019-07-02T20:00:00,8,11
437,775167,2019-07-02T21:00:00,4,7
438,775167,2019-07-03T07:00:00,2,2
439,775167,2019-07-03T08:00:00,1,2
440,775167,2019-07-03T09:00:00,10,6
441,775167,2019-07-03T10:00:00,8,8
442,775167,2019-07-03T11:00:00,13,16
443,775167,2019-07-03T12:00:00,12,10
444,775167,2019-07-03T13:00:00,25,24
445,775167,2019-07-03T14:00:00,16,7
446,775167,2019-07-03T15:00:00,12,16
447,775167,2019-07-03T16:00:00,22,20
448,775167,2019-07-03T17:00:00,25,23
449,775167,2019-07-03T18:00:00,9,10
450,775167,2019-07-03T19:00:00,6,7
451,775167,2019-07-03T20:00:00,7,8
452,775167,2019-07-03T21:00:00,5,5
453,775168,2019-07-01T10:00:00,1,0
454,775168,2019-07-01T11:00:00,0,1
455,775168,2019-07-01T13:00:00,0,1
456,775168,2019-07-01T14:00:00,0,2
457,775168,2019-07-02T09:00:00,0,3
458,775168,2019-07-02T10:00:00,0,8
459,775168,2019-07-02T13:00:00,0,1
460,775168,2019-07-02T15:00:00,1,1
461,775168,2019-07-03T15:00:00,0,1
462,775168,2019-07-03T16:00:00,0,1
463,775170,2019-07-02T10:00:00,1,1
464,775100,2019-07-04T06:00:00,8,0
465,775100,2019-07-04T07:00:00,53,5
466,775100,2019-07-04T08:00:00,230,27
467,775100,2019-07-04T09:00:00,270,98
468,775100,2019-07-04T10:00:00,529,287
469,775100,2019-07-04T11:00:00,577,509
470,775100,2019-07-04T12:00:00,517,589
471,775100,2019-07-04T13:00:00,514,558
472,775100,2019-07-04T14:00:00,549,602
473,775100,2019-07-04T15:00:00,812,604
474,775100,2019-07-04T16:00:00,495,659
475,775100,2019-07-04T17:00:00,294,703
476,775100,2019-07-04T18:00:00,143,273
477,775100,2019-07-04T19:00:00,49,71
478,775100,2019-07-04T20:00:00,41,72
479,775100,2019-07-04T21:00:00,27,63
480,775100,2019-07-04T22:00:00,18,13
481,775100,2019-07-05T06:00:00,12,2
482,775100,2019-07-05T07:00:00,51,7
483,775100,2019-07-05T08:00:00,195,32
484,775100,2019-07-05T09:00:00,249,112
485,775100,2019-07-05T10:00:00,486,324
486,775100,2019-07-05T11:00:00,430,440
487,775100,2019-07-05T12:00:00,541,572
488,775100,2019-07-05T13:00:00,527,579
489,775100,2019-07-05T14:00:00,529,562
490,775100,2019-07-05T15:00:00,466,577
491,775100,2019-07-05T16:00:00,325,448
492,775100,2019-07-05T17:00:00,211,269
493,775100,2019-07-05T18:00:00,115,161
494,775100,2019-07-05T19:00:00,97,110
495,775100,2019-07-05T20:00:00,68,82
496,775100,2019-07-05T21:00:00,30,52
497,775100,2019-07-05T22:00:00,16,19
498,775100,2019-07-06T06:00:00,3,0
499,775100,2019-07-06T07:00:00,1,0
500,775100,2019-07-06T08:00:00,3,3
501,775100,2019-07-06T09:00:00,9,0
502,775100,2019-07-06T10:00:00,440,98
503,775100,2019-07-06T11:00:00,421,353
504,775100,2019-07-06T12:00:00,485,492
505,775100,2019-07-06T13:00:00,542,530
506,775100,2019-07-06T14:00:00,670,643
507,775100,2019-07-06T15:00:00,411,690
508,775100,2019-07-06T16:00:00,16,169
509,775100,2019-07-06T17:00:00,0,3
510,775100,2019-07-06T18:00:00,3,3
511,775100,2019-07-06T20:00:00,1,0
512,775100,2019-07-06T22:00:00,2,2
513,775100,2019-07-07T07:00:00,1,0
514,775100,2019-07-07T08:00:00,4,2
515,775100,2019-07-07T09:00:00,8,1
516,775100,2019-07-07T10:00:00,355,106
517,775100,2019-07-07T11:00:00,282,281
518,775100,2019-07-07T12:00:00,348,326
519,775100,2019-07-07T13:00:00,414,370
520,775100,2019-07-07T14:00:00,426,420
521,775100,2019-07-07T15:00:00,296,540
522,775100,2019-07-07T16:00:00,4,82
523,775100,2019-07-07T17:00:00,1,0
524,775100,2019-07-07T18:00:00,2,5
525,775100,2019-07-07T19:00:00,0,1
526,775100,2019-07-07T22:00:00,5,5
527,775100,2019-07-08T06:00:00,12,2
528,775100,2019-07-08T07:00:00,71,6
529,775100,2019-07-08T08:00:00,167,33
530,775100,2019-07-08T09:00:00,251,92
531,775100,2019-07-08T10:00:00,483,334
532,775100,2019-07-08T11:00:00,554,478
533,775100,2019-07-08T12:00:00,635,648
534,775100,2019-07-08T13:00:00,638,620
535,775100,2019-07-08T14:00:00,584,574
536,775100,2019-07-08T15:00:00,446,558
537,775100,2019-07-08T16:00:00,241,507
538,775100,2019-07-08T17:00:00,196,284
539,775100,2019-07-08T18:00:00,126,206
540,775100,2019-07-08T19:00:00,85,123
541,775100,2019-07-08T20:00:00,64,105
542,775100,2019-07-08T21:00:00,23,55
543,775100,2019-07-08T22:00:00,0,3
544,775100,2019-07-09T06:00:00,11,2
545,775100,2019-07-09T07:00:00,51,1
546,775100,2019-07-09T08:00:00,198,24
547,775100,2019-07-09T09:00:00,269,142
548,775100,2019-07-09T10:00:00,435,291
549,775100,2019-07-09T11:00:00,619,542
550,775100,2019-07-09T12:00:00,638,659
551,775100,2019-07-09T13:00:00,603,644
552,775100,2019-07-09T14:00:00,715,727
553,775100,2019-07-09T15:00:00,508,671
554,775100,2019-07-09T16:00:00,354,481
555,775100,2019-07-09T17:00:00,230,300
556,775100,2019-07-09T18:00:00,147,229
557,775100,2019-07-09T19:00:00,87,125
558,775100,2019-07-09T20:00:00,85,115
559,775100,2019-07-09T21:00:00,34,64
560,775100,2019-07-09T22:00:00,0,3
561,775100,2019-07-10T06:00:00,12,4
562,775100,2019-07-10T07:00:00,50,4
563,775100,2019-07-10T08:00:00,151,37
564,775100,2019-07-10T09:00:00,268,97
565,775100,2019-07-10T10:00:00,483,359
566,775100,2019-07-10T11:00:00,577,526
567,775100,2019-07-10T12:00:00,561,576
568,775100,2019-07-10T13:00:00,520,572
569,775100,2019-07-10T14:00:00,512,505
570,775100,2019-07-10T15:00:00,425,570
571,775100,2019-07-10T16:00:00,347,444
572,775100,2019-07-10T17:00:00,268,332
573,775100,2019-07-10T18:00:00,188,239
574,775100,2019-07-10T19:00:00,115,147
575,775100,2019-07-10T20:00:00,48,92
576,775100,2019-07-10T21:00:00,22,39
577,775100,2019-07-10T22:00:00,0,1
578,775100,2019-07-11T06:00:00,8,0
579,775100,2019-07-11T07:00:00,50,10
580,775100,2019-07-11T08:00:00,152,29
581,775100,2019-07-11T09:00:00,247,128
582,775100,2019-07-11T10:00:00,419,286
583,775100,2019-07-11T11:00:00,631,535
584,775100,2019-07-11T12:00:00,579,568
585,775100,2019-07-11T13:00:00,542,600
586,775100,2019-07-11T14:00:00,573,517
587,775100,2019-07-11T15:00:00,503,531
588,775100,2019-07-11T16:00:00,444,565
589,775100,2019-07-11T17:00:00,258,398
590,775100,2019-07-11T18:00:00,177,235
591,775100,2019-07-11T19:00:00,89,177
592,775100,2019-07-11T20:00:00,57,103
593,775100,2019-07-11T21:00:00,32,61
594,775100,2019-07-11T22:00:00,1,2
595,775100,2019-07-12T06:00:00,12,2
596,775100,2019-07-12T07:00:00,45,1
597,775100,2019-07-12T08:00:00,132,30
598,775100,2019-07-12T09:00:00,244,89
599,775100,2019-07-12T10:00:00,431,268
600,775100,2019-07-12T11:00:00,548,526
601,775100,2019-07-12T12:00:00,498,529
602,775100,2019-07-12T13:00:00,530,554
603,775100,2019-07-12T14:00:00,538,640
604,775100,2019-07-12T15:00:00,498,573
605,775100,2019-07-12T16:00:00,385,483
606,775100,2019-07-12T17:00:00,225,311
607,775100,2019-07-12T18:00:00,122,178
608,775100,2019-07-12T19:00:00,111,120
609,775100,2019-07-12T20:00:00,83,109
610,775100,2019-07-12T21:00:00,29,61
611,775100,2019-07-12T22:00:00,1,2
612,775100,2019-07-13T06:00:00,3,1
613,775100,2019-07-13T07:00:00,3,0
614,775100,2019-07-13T08:00:00,5,2
615,775100,2019-07-13T09:00:00,12,4
616,775100,2019-07-13T10:00:00,350,156
617,775100,2019-07-13T11:00:00,376,399
618,775100,2019-07-13T12:00:00,456,432
619,775100,2019-07-13T13:00:00,407,405
620,775100,2019-07-13T14:00:00,530,460
621,775100,2019-07-13T15:00:00,419,607
622,775100,2019-07-13T16:00:00,27,100
623,775100,2019-07-13T17:00:00,3,3
624,775100,2019-07-13T18:00:00,2,3
625,775100,2019-07-13T19:00:00,1,0
626,775100,2019-07-13T20:00:00,1,1
627,775100,2019-07-13T21:00:00,0,1
628,775100,2019-07-14T07:00:00,2,0
629,775100,2019-07-14T08:00:00,4,2
630,775100,2019-07-14T09:00:00,8,3
631,775100,2019-07-14T10:00:00,482,105
632,775100,2019-07-14T11:00:00,424,371
633,775100,2019-07-14T12:00:00,414,449
634,775100,2019-07-14T13:00:00,521,473
